31,2022-07-12 16:01:36,Pertamina Perluas Daerah Pendaftaran MyPertamina di Jatim https://t.co/V3tbqnBpEc #Bisnis #aplikasimypertamina #BBMSubsidi #mypertamina #pertalite,inilahcom,1,0
32,2022-07-12 13:19:04,70 Ribu Telah Terdaftar di MyPertamina https://t.co/22NRURFCtf #QrCode #ScanCode #Pertamina #Mypertamina,Wahana News Official,0,3
33,2022-07-12 13:17:21,"Mobil Pengguna Pertalite dan Solar Subsidi di Kota #Madiun Diimbau Cepat Daftar Subsidi Tepat BBM - #MadiunInfo #InformasiMadiun #beritamadiun #MadiunNews #kabarMadiun #peristiwamadiun #pertamina #mypertamina #bbm #pertalite #solar #KotaMadiun #MadiunKota

https://t.co/2tzHV5d6bX",Informasi Madiun,0,0
34,2022-07-12 12:45:50,"Padahal tinggal semua mobil tidak diperkenankan menggunakan #bbmsubsidi tak perlu repot-repot mendata/ mendaftar #mypertamina 
Selain itu pemilik mobil wajib memiliki garasi.",MoTho,0,0
35,2022-07-12 10:50:06,Update kunjungan DPR RI di Kota Mataram: Ada larangan keras bagi seluruh kendaraan dinas  #MyPertamina https://t.co/MWHWuI29dd,JPNN.com,0,0
36,2022-07-12 09:52:09,"Pertamina Buka Booth Untuk Bantu Warga Kota Madiun Daftarkan Kendaraan Dapatkan BBM Bersubsidi.

Madiun (https://t.co/ksziGGG4m3) – Sudah banyak masyarakat yang mendaftarkan kendaraan untuk dapat… https://t.co/8OnUkiPfst #mypertamina #pertamina #pertaminapatraniaga #beritamigas",beritajatim,0,0
37,2022-07-12 06:33:33,"Hack Aplikasi MyPertamina Saldo Tak Terbatas‼️

Informasi di atas 100% HOAKS❌⛔

Selengkapnya di:
https://t.co/i6d7fBGof6

#hoaks #jalahoaks #jakarta #jakartakolaborasi #mypertamina #pertamina https://t.co/W0bmwoPPMg",jalahoaks,1,0
38,2022-07-12 05:56:09,"Jangan Asal Masuk! Ada 3 Warna SPBU Pertamina, Ternyata Ini Perbedaannya

#SPBU #Pertamina #MyPertamina #solar #pertalite #berita #viral #TikTok #Twitter #news #BeritaJogja #Berlin #TrendingTopics #HotTrendingSongs #ไบร์ทวิน #UkraineRussiaWar #jhope #F1
 https://t.co/RIPhPswNA0",DuniaFintech.com,0,0
39,2022-07-12 05:41:48,"Cara Mendapatkan QR Code MyPertamina yang Beli Pertalite dan Solar 
#aplikasi #MyPertamina
#Pertalite #QRCode #Solar
https://t.co/X8wX1YoC6m lewat @selularid",SelularID,1,1
40,2022-07-12 05:38:13,"Motor kalian ada di daftar ga?
#MyPertamina https://t.co/jOEXnlZOU1",Mamo,1,0
41,2022-07-12 05:04:28,"Ayo isi Pertamax Turbo sekarang dan rasakan akselerasi dan performa mesin kendaraan yang nggak kenal kendor 👊🏻

#SelaluJadiAndalan #PerfectionInPerformance #LebihBaikPertamax #MyPertamina #Call135",Pertamax Series ID,5,5
42,2022-07-12 05:00:28,"Untuk info lebih lanjut kamu bisa hubungi Pertamina Call Center di 135 ya.

#MyPertamina #Call135",MyPertamina,2,1
